Model,Accuracy,Precision,Recall,F1,ROC_AUC
TF-IDF + Logistic Regression,0.8648361934477379,0.8799573910193379,0.9387237762237762,0.9083911351717138,0.925937192578414
TF-IDF + Naive Bayes,0.827207488299532,0.823665546845838,0.9644230769230769,0.8885041272397826,0.8935739451388307
TF-IDF + Random Forest,0.8220280811232449,0.8107091172214183,0.9793706293706294,0.8870942201108472,0.8942252785382556
